Team,Played,For,xGF,Against,xGA,GD,xGD
France,7,11,6.76,5,4.69,6,2.07
Croatia,7,11,11.09,7,7.13,4,3.96
Belgium,7,15,13.14,6,9.34,9,3.8
England,7,9,10.62,6,7.85,3,2.77
Uruguay,5,7,8.48,3,2.66,4,5.82
Russia,5,10,5.05,5,8.06,5,-3.01
Brazil,5,8,12.66,3,3.29,5,9.37
Sweden,5,4,7.26,4,5.29,0,1.97
Spain,4,7,8.9,4,3.62,3,5.28
Portugal,4,5,3.6,5,4.06,0,-0.46
Denmark,4,3,3.39,1,3.95,2,-0.56
Argentina,4,6,4.48,7,5.19,-1,-0.71
Switzerland,4,5,5.66,5,6.83,0,-1.17
Mexico,4,2,4.3,5,7.88,-3,-3.58
Colombia,4,6,4.16,1,4.93,5,-0.77
Japan,4,5,4.09,7,7.08,-2,-2.95
,"
",,,,,,